Date,Campaign,Channel,Campaign Type,Impressions,Clicks,CTR (%),Avg CPC ($),Spend ($),Conversions,Conv Rate (%),Cost/Conv ($),Revenue ($),ROAS
2026-02-25,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,13721,284,2.07,1.28,364.76,14,5.01,26.05,1477.37,4.05
2026-02-25,"Email Nurture – Weekly Newsletter",Email,Email,12045,51,0.42,0.00,30.17,2,4.74,15.08,184.77,6.12
2026-02-26,"Spring Sale 2026 – Search",Google Ads,Search,7756,375,4.83,2.03,760.99,19,5.07,40.05,2287.67,3.01
2026-02-26,"Spring Sale 2026 – Display",Google Ads,Display,50749,256,0.50,0.69,177.22,4,1.62,44.30,316.32,1.78
2026-02-26,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,38814,613,1.58,0.51,313.53,15,2.43,20.90,1577.63,5.03
2026-02-26,"Brand Awareness – Stories",Meta (Instagram),Paid Social,22753,239,1.05,0.86,205.65,4,1.80,51.41,246.45,1.20
2026-02-26,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,9183,96,1.05,7.19,690.62,3,3.15,230.21,0.00,0.00
2026-02-26,"Product Launch – Video Ads",TikTok,Paid Social,46807,423,0.90,0.33,140.91,2,0.50,70.45,71.81,0.51
2026-02-26,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,11408,475,4.16,0.69,329.28,34,7.26,9.68,5249.39,15.94
2026-02-26,"Email Nurture – Weekly Newsletter",Email,Email,12379,76,0.61,0.00,16.56,3,3.64,5.52,206.43,12.47
2026-02-27,"Spring Sale 2026 – Search",Google Ads,Search,5506,434,7.88,2.69,1165.46,19,4.38,61.34,2173.52,1.86
2026-02-27,"Spring Sale 2026 – Display",Google Ads,Display,41063,214,0.52,0.71,152.46,2,1.05,76.23,108.47,0.71
2026-02-27,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,31912,424,1.33,0.77,326.76,12,2.79,27.23,1285.26,3.93
2026-02-27,"Brand Awareness – Stories",Meta (Instagram),Paid Social,20094,341,1.70,0.48,163.79,7,2.12,23.40,422.30,2.58
2026-02-27,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,13570,106,0.78,10.37,1099.23,6,5.40,183.21,0.00,0.00
2026-02-27,"Product Launch – Video Ads",TikTok,Paid Social,57776,400,0.69,0.34,135.34,3,0.70,45.11,90.02,0.67
2026-02-27,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,10976,311,2.83,0.89,275.57,23,7.55,11.98,2406.62,8.73
2026-02-27,"Email Nurture – Weekly Newsletter",Email,Email,12131,96,0.79,0.00,17.32,2,2.42,8.66,163.08,9.42
2026-02-28,"Spring Sale 2026 – Search",Google Ads,Search,2972,231,7.77,2.01,464.65,10,4.53,46.47,1334.89,2.87
2026-02-28,"Spring Sale 2026 – Display",Google Ads,Display,41154,221,0.54,0.74,163.08,2,1.07,81.54,128.92,0.79
2026-02-28,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,19095,321,1.68,0.61,195.95,6,1.99,32.66,427.93,2.18
2026-02-28,"Brand Awareness – Stories",Meta (Instagram),Paid Social,24585,439,1.79,0.83,365.14,11,2.48,33.19,957.65,2.62
2026-02-28,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,3430,19,0.55,11.32,215.11,1,3.74,215.11,0.00,0.00
2026-02-28,"Product Launch – Video Ads",TikTok,Paid Social,99018,710,0.72,0.31,219.49,9,1.29,24.39,362.30,1.65
2026-02-28,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,9395,368,3.92,0.93,342.89,39,10.67,8.79,4795.55,13.99
2026-02-28,"Email Nurture – Weekly Newsletter",Email,Email,12264,14,0.11,0.00,33.28,1,4.24,33.28,81.23,2.44
